              oth_anaemia   iron_deficiency_anaemia 
        spondylolisthesis          substance_misuse 
             1.646200e-02              1.463615e-02 
                      BAD             schizophrenia 
             1.370462e-02              1.365850e-02 
             fibromyalgia              pri_melanoma 
             1.349603e-02              1.324261e-02 
           retinal_detach                      ADHD 
             1.210342e-02              1.163593e-02 
             hidradenitis                  juv_arth 
             1.160040e-02              1.087162e-02 
                      BPH                   meniere 
             1.085694e-02              9.274711e-03 
             sleep_apnoea                 psoriasis 
             8.432742e-03              8.313266e-03 
            lichen_planus                skin_ulcer 
             8.297055e-03              7.909422e-03 
           cerebral_palsy           alopecia_areata 
             7.610347e-03              7.432642e-03 
                      MND            alcohol_depend 
             7.079369e-03              6.702220e-03 
             spina_bifida            pri_testicular 
             6.418124e-03              5.477768e-03 
           intervert_disc                NAFLD_NASH 
             4.848307e-03              4.087195e-03 
       multiple_sclerosis              periph_neuro 
             3.778000e-03              3.707405e-03 
                  chr_hep               trigem_neur 
             3.266463e-03              1.384673e-03 
                SARS_CoV2                diab_neuro 
             1.167564e-03              1.115160e-03 
                 vitiligo           cystic_fibrosis 
             1.020863e-03              8.467318e-04 
                      hiv               sickle_cell 
             6.644447e-04              5.924674e-04 
                    downs       hyperprolactinaemia 
             3.586817e-04              2.379558e-04 
         intracranial_htn 
             8.977421e-05 
